index;baseKv;Vm;Va;Pd;Qd;Pg;Qg;type
368;380;1;-68.47;358.71;0;0;0;1
369;380;1;-64.04;358.71;0;0;0;1
370;380;1;-32.04;0;0;2826.49;0;2
371;380;1;-12.87;186.59;0;0;0;1
372;380;1;-39.76;376.63;0;0;0;1
373;380;1;-54.58;0;0;1995.39;0;2
374;380;1;-24.96;230.77;0;0;0;1
375;380;1;-58.62;358.71;0;0;0;1
376;380;1;-5.87;186.59;0;0;0;1
377;380;1;-52.81;376.63;0;0;0;1
378;380;1;-14.02;230.77;0;0;0;1
379;380;1;-10.5;151.36;0;0;0;1
380;380;1;-5.59;151.36;0;0;0;1
381;380;1;-7.06;186.59;0;0;0;1
382;380;1;-10.68;151.36;0;0;0;1
383;380;1;-35.5;252.57;0;0;0;1
384;380;1;-13.46;186.59;0;0;0;1
385;380;1;-70.19;420.21;0;0;0;1
386;380;1;-24.93;230.77;0;0;0;1
387;380;1;-4.62;0;0;905.38;0;2
388;380;1;-38;252.57;0;0;0;1
389;380;1;-8.3;151.36;0;0;0;1
390;380;1;-8.44;151.36;0;0;0;1
391;380;1;-70.69;420.21;0;0;0;1
392;380;1;-20.29;180.29;0;0;0;1
393;380;1;-31.2;252.57;0;0;0;1
394;380;1;-9.88;0;0;170.71;0;2
395;380;1;-11.33;313.59;0;0;0;1
396;380;1;-19.37;230.77;0;0;0;1
397;380;1;-7.14;313.59;0;0;0;1
398;380;1;-25.22;0;0;390.21;0;2
399;380;1;-25.94;180.29;0;0;0;1
400;380;1;-6.57;313.59;0;0;0;1
401;380;1;-24.84;180.29;0;0;0;1
402;380;1;-12.53;313.59;0;0;0;1
403;380;1;-40.84;252.57;0;0;0;1
404;380;1;-8.23;313.59;0;0;0;1
405;380;1;-17.47;180.29;0;0;0;1
406;380;1;-11.05;313.59;0;0;0;1
407;380;1;-6.82;0;0;195.11;0;2
408;380;1;-32.6;252.57;0;0;0;1
409;380;1;-48.91;252.57;0;0;0;1
410;380;1;-14.38;313.59;0;0;0;1
411;380;1;-16.11;313.59;0;0;0;1
412;380;1;-33.41;313.59;0;0;0;1
413;380;1;-16.6;120.38;0;0;0;1
414;380;1;-12.61;313.59;0;0;0;1
415;380;1;-15.66;120.38;0;0;0;1
416;380;1;-6.63;313.59;0;0;0;1
417;380;1;-18.35;120.38;0;0;0;1
418;380;1;-6.91;313.59;0;0;0;1
419;380;1;-41.52;252.57;0;0;0;1
420;380;1;-11.4;120.38;0;0;0;1
421;380;1;-20.02;120.38;0;0;0;1
422;380;1;-4.73;0;0;195.1;0;2
423;380;1;-9.67;313.59;0;0;0;1
424;380;1;-11.26;0;0;585.3;0;2
425;380;1;-20.89;180.29;0;0;0;1
426;380;1;-7.66;120.38;0;0;0;1
427;380;1;-2.97;0;0;510.18;0;2
428;380;1;-12.31;313.59;0;0;0;1
429;380;1;-16.33;313.59;0;0;0;1
430;380;1;-13.56;313.59;0;0;0;1
431;380;1;-11.54;313.59;0;0;0;1
432;380;1;-18.93;180.29;0;0;0;1
433;380;1;-36.08;252.57;0;0;0;1
434;380;1;-8.41;313.59;0;0;0;1
435;380;1;-22.16;252.57;0;0;0;1
436;380;1;-6.8;313.59;0;0;0;1
437;380;1;-2.37;0;0;243.88;0;2
438;380;1;-2.27;283.6;0;0;0;1
439;380;1;-8.98;0;0;138.98;0;2
440;380;1;-12.76;313.59;0;0;0;1
441;380;1;-9.99;313.59;0;0;0;1
442;380;1;69.34;313.59;0;0;0;1
443;380;1;-11.69;0;0;35;0;2
444;380;1;-4.96;0;0;438.98;0;2
445;380;1;10.12;0;0;3361.13;0;2
446;380;1;-15.59;180.29;0;0;0;1
447;380;1;-6.9;313.59;0;0;0;1
448;380;1;-4.84;283.6;0;0;0;1
449;380;1;-14.28;0;0;2731.39;0;2
450;380;1;-2.71;180.29;0;0;0;1
451;380;1;-27.37;283.6;0;0;0;1
452;380;1;-22.34;313.59;0;0;0;1
453;380;1;-26.59;252.57;0;0;0;1
454;380;1;-3.23;0;0;365.81;0;2
455;380;1;-14.22;180.29;0;0;0;1
456;380;1;-41.73;283.6;0;0;0;1
457;380;1;5.05;283.6;0;0;0;1
458;380;1;-16.71;0;0;1750;0;2
459;380;1;-6.99;180.29;0;0;0;1
460;380;1;160;0;0;3166.03;0;2
461;380;1;22.82;0;0;438.98;0;2
462;380;1;-16.49;313.59;0;0;0;1
463;380;1;-5.39;283.6;0;0;0;1
464;380;1;-37.06;283.6;0;0;0;1
465;380;1;-9.98;180.29;0;0;0;1
466;380;1;2.93;0;0;2358.75;0;2
467;380;1;15.21;0;0;243.88;0;2
468;380;1;-15.18;313.59;0;0;0;1
469;380;1;-1.09;0;0;682.86;0;2
470;380;1;-4.21;313.59;0;0;0;1
471;380;1;-1.64;283.2;0;0;0;1
472;380;1;-4.89;283.2;0;0;0;1
473;380;1;-24.35;294.47;0;0;0;1
474;380;1;-22.54;294.47;0;0;0;1
475;380;1;-13.84;313.59;0;0;0;1
476;380;1;-38.64;283.6;0;0;0;1
477;380;1;-20.54;283.6;0;0;0;1
478;380;1;-1.82;0;0;3461.13;0;2
479;380;1;-5.55;283.2;0;0;0;1
480;380;1;1.09;0;0;731.63;0;2
481;380;1;-20.94;448.76;0;0;0;1
482;380;1;-24.24;448.76;0;0;0;1
483;380;1;-11.56;254.84;0;0;0;1
484;380;1;-12.35;283.6;0;0;0;1
485;380;1;-23.81;448.76;0;0;0;1
486;380;1;-9.35;0;0;1386.18;0;2
487;380;1;-22.5;448.76;0;0;0;1
488;380;1;-4.17;0;0;468.24;0;2
489;380;1;-14.81;254.84;0;0;0;1
490;380;1;-0.93;0;0;2438.74;0;2
491;380;1;-35.37;448.76;0;0;0;1
492;380;1;18.09;0;0;1340.33;0;2
493;380;1;-19.66;0;0;535;0;2
494;380;1;-9.27;0;0;713.33;0;2
495;380;1;-32.11;644;0;0;0;1
496;380;1;-15.5;254.84;0;0;0;1
497;380;1;-11.37;0;0;731.62;0;2
498;380;1;-24.62;448.76;0;0;0;1
499;380;1;-30.47;448.76;0;0;0;1
500;380;1;-36.49;283.6;0;0;0;1
501;380;1;-19.84;254.84;0;0;0;1
502;380;1;-28.67;448.76;0;0;0;1
503;380;1;-23.85;283.2;0;0;0;1
504;380;1;-49.41;448.76;0;0;0;1
505;380;1;-18.47;254.84;0;0;0;1
506;380;1;-24.11;254.84;0;0;0;1
507;380;1;-18.73;254.84;0;0;0;1
508;380;1;-50.48;448.76;0;0;0;1
509;380;1;-28.74;283.2;0;0;0;1
510;380;1;-28.79;448.76;0;0;0;1
511;380;1;-24.43;283.2;0;0;0;1
512;380;1;-19.94;233;0;0;0;1
513;380;1;-32.48;233;0;0;0;1
514;380;1;-35.81;448.76;0;0;0;1
515;380;1;-40.76;184;0;0;0;1
516;380;1;-32.99;448.76;0;0;0;1
517;380;1;-36.15;448.76;0;0;0;1
518;380;1;-31.7;283.2;0;0;0;1
519;380;1;-22.3;254.84;0;0;0;1
520;380;1;-23.75;254.84;0;0;0;1
521;380;1;-39.4;448.76;0;0;0;1
522;380;1;-29.64;283.6;0;0;0;1
523;380;1;-20.25;254.84;0;0;0;1
524;380;1;-25.27;254.84;0;0;0;1
525;380;1;-22.84;254.84;0;0;0;1
526;380;1;-38.35;272.16;0;0;0;1
527;380;1;-46.99;283.2;0;0;0;1
528;380;1;-27.67;272.16;0;0;0;1
529;380;1;-41.68;384;0;0;0;1
530;380;1;-51.14;283.2;0;0;0;1
531;380;1;4.16;0;0;1128;0;2
532;380;1;-16.56;43;0;0;0;1
533;380;1;-59.31;283.2;0;0;0;1
534;380;1;93.22;61;0;0;0;1
535;380;1;88.53;0;0;2300;0;2
536;380;1;60.94;1455;0;0;0;1
537;380;1;87.19;778.58;0;0;0;1
538;380;1;88.68;654;0;0;0;1
539;380;1;76.61;0;0;1619;0;2
